MaterialType-2,use raw data,kernel:linear,degree:3,500,0.988388878312,0.992707264128,
MaterialType-2,use raw data,kernel:linear,degree:3,100,0.953722676603,0.971167033251,
MaterialType-2,use raw data,kernel:linear,degree:3,200,0.970311822109,0.981343137678,
MaterialType-2,use raw data,kernel:linear,degree:3,400,0.984900251897,0.990502292952,
MaterialType-2,use raw data,kernel:linear,degree:3,500,0.988388878312,0.992707264128,
MaterialType-2,use raw data,kernel:linear,degree:3,1000,0.994273413536,0.996438377827,
MaterialType-2,use raw data,kernel:linear,degree:3,1200,0.995348460503,0.997116775204,
MaterialType-2,use raw data,kernel:linear,degree:3,2000,0.995354785591,0.997116487687,
MaterialType-2,use raw data,kernel:linear,degree:3,3400,0.996423205836,0.997795028824,
Sex-2,use raw data,kernel:linear,degree:3,100,0.574612820044,0.689455983756,
Sex-2,use raw data,kernel:linear,degree:3,200,0.601420053887,0.662758576928,
Sex-2,use raw data,kernel:linear,degree:3,400,0.604339295926,0.658208892085,
Sex-2,use raw data,kernel:linear,degree:3,500,0.681887191695,0.719398028681,
Sex-2,use raw data,kernel:linear,degree:3,1000,0.769977430789,0.798819747028,
Sex-2,use raw data,kernel:linear,degree:3,1200,0.784382835679,0.81118279115,
Sex-2,use raw data,kernel:linear,degree:3,2000,0.92148703236,0.930982698084,
Sex-2,use raw data,kernel:linear,degree:3,3400,0.93261992241,0.940752569906,
DiseaseState-16,use raw data,kernel:linear,degree:3,100,0.881655963097,0.918058507946,
DiseaseState-16,use raw data,kernel:linear,degree:3,200,0.886329635592,0.922559975706,
DiseaseState-16,use raw data,kernel:linear,degree:3,400,0.907443953503,0.937416742585,
DiseaseState-16,use raw data,kernel:linear,degree:3,500,0.910957355825,0.939219556635,
DiseaseState-16,use raw data,kernel:linear,degree:3,1000,0.934231796521,0.954079360259,
DiseaseState-16,use raw data,kernel:linear,degree:3,1200,0.938201496666,0.955429699362,
DiseaseState-16,use raw data,kernel:linear,degree:3,2000,0.942224509535,0.959483753416,
DiseaseState-16,use raw data,kernel:linear,degree:3,3400,0.93948376718,0.959034315214,
BioSourceType-7,use raw data,kernel:linear,degree:3,100,0.887366637315,0.899797413915,
BioSourceType-7,use raw data,kernel:linear,degree:3,200,0.925492018113,0.930734233087,
BioSourceType-7,use raw data,kernel:linear,degree:3,400,0.958825429394,0.962678889738,
BioSourceType-7,use raw data,kernel:linear,degree:3,500,0.962261661819,0.964358430241,
BioSourceType-7,use raw data,kernel:linear,degree:3,1000,0.97526597253,0.978478340831,
BioSourceType-7,use raw data,kernel:linear,degree:3,1200,0.979314053557,0.981841948901,
BioSourceType-7,use raw data,kernel:linear,degree:3,2000,0.978311308548,0.982850352262,
BioSourceType-7,use raw data,kernel:linear,degree:3,3400,0.979892657448,0.984531024531,
MaterialType-2,use PCA data,kernel:linear,degree:3,100,0.985319281087,0.990841276002,
MaterialType-2,use PCA data,kernel:linear,degree:3,200,0.993713948869,0.996099251017,
MaterialType-2,use PCA data,kernel:linear,degree:3,400,0.996967364974,0.998134299392,
